"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"99773799999","2020-04-20","47.27","-91.08","198.0","SILVER BAY, MN US","  45.1"," 5","9999.9"," 0"," 998.1"," 5","999.9"," 0","999.9"," 0"," 16.2"," 5"," 20.0","999.9","  47.7","*","  40.8","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-21","47.27","-91.08","198.0","SILVER BAY, MN US","  30.0","24","9999.9"," 0","1011.1","24","999.9"," 0","999.9"," 0","  9.0","24"," 15.9","999.9","  37.2","*","  23.0","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-22","47.27","-91.08","198.0","SILVER BAY, MN US","  33.5","24","9999.9"," 0","1014.0","24","999.9"," 0","999.9"," 0"," 12.1","24"," 19.0","999.9","  35.1","*","  32.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-23","47.27","-91.08","198.0","SILVER BAY, MN US","  35.3","24","9999.9"," 0","1011.1","24","999.9"," 0","999.9"," 0"," 12.1","24"," 19.0","999.9","  38.7","*","  32.9","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-24","47.27","-91.08","198.0","SILVER BAY, MN US","  36.1","23","9999.9"," 0","1012.5","23","999.9"," 0","999.9"," 0","  5.2","23","  8.9","999.9","  39.6","*","  34.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-25","47.27","-91.08","198.0","SILVER BAY, MN US","  39.7","24","9999.9"," 0","1017.7","24","999.9"," 0","999.9"," 0","  6.2","24","  9.9","999.9","  45.5","*","  35.4","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-26","47.27","-91.08","198.0","SILVER BAY, MN US","  42.0","24","9999.9"," 0","1022.6","24","999.9"," 0","999.9"," 0","  7.8","24"," 12.0","999.9","  44.6","*","  39.9","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-27","47.27","-91.08","198.0","SILVER BAY, MN US","  39.9","24","9999.9"," 0","1015.0","24","999.9"," 0","999.9"," 0","  9.6","24"," 14.0","999.9","  41.9","*","  37.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-28","47.27","-91.08","198.0","SILVER BAY, MN US","  39.1","24","9999.9"," 0","1012.4","24","999.9"," 0","999.9"," 0","  7.9","24"," 12.0","999.9","  40.8","*","  37.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-29","47.27","-91.08","198.0","SILVER BAY, MN US","  44.9","24","9999.9"," 0","1014.2","23","999.9"," 0","999.9"," 0","  8.3","23"," 15.0","999.9","  53.2","*","  39.7","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-30","47.27","-91.08","198.0","SILVER BAY, MN US","  46.4","24","9999.9"," 0","1014.4","24","999.9"," 0","999.9"," 0","  8.2","24"," 18.1","999.9","  50.2","*","  41.4","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-01","47.27","-91.08","198.0","SILVER BAY, MN US","  43.3","24","9999.9"," 0","1011.7","24","999.9"," 0","999.9"," 0","  2.7","24","  7.0","999.9","  50.0","*","  38.7","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-02","47.27","-91.08","198.0","SILVER BAY, MN US","  44.5","15","9999.9"," 0","1007.3","15","999.9"," 0","999.9"," 0","  7.4","15"," 21.0","999.9","  49.6","*","  38.7","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-03","47.27","-91.08","198.0","SILVER BAY, MN US","  47.8","24","9999.9"," 0","1012.7","24","999.9"," 0","999.9"," 0"," 10.6","24"," 15.9","999.9","  60.6","*","  39.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-04","47.27","-91.08","198.0","SILVER BAY, MN US","  36.5","24","9999.9"," 0","1023.6","24","999.9"," 0","999.9"," 0","  8.8","24"," 14.0","999.9","  47.1","*","  34.0","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-05","47.27","-91.08","198.0","SILVER BAY, MN US","  36.2","24","9999.9"," 0","1020.5","24","999.9"," 0","999.9"," 0","  8.4","24"," 12.0","999.9","  40.3","*","  33.8","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-06","47.27","-91.08","198.0","SILVER BAY, MN US","  41.5","24","9999.9"," 0","1018.5","24","999.9"," 0","999.9"," 0","  5.2","24","  9.9","999.9","  48.0","*","  34.7","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-07","47.27","-91.08","198.0","SILVER BAY, MN US","  42.2","24","9999.9"," 0","1017.1","24","999.9"," 0","999.9"," 0","  8.7","24"," 15.9","999.9","  49.8","*","  36.5","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-08","47.27","-91.08","198.0","SILVER BAY, MN US","  32.9","24","9999.9"," 0","1021.9","24","999.9"," 0","999.9"," 0"," 10.1","24"," 17.1","999.9","  46.0","*","  25.3","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-09","47.27","-91.08","198.0","SILVER BAY, MN US","  39.2","24","9999.9"," 0","1018.3","24","999.9"," 0","999.9"," 0","  9.3","24"," 25.1","999.9","  43.5","*","  35.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-10","47.27","-91.08","198.0","SILVER BAY, MN US","  40.8","24","9999.9"," 0","1019.5","24","999.9"," 0","999.9"," 0","  9.4","24"," 17.1","999.9","  45.1","*","  37.8","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-11","47.27","-91.08","198.0","SILVER BAY, MN US","  38.1","24","9999.9"," 0","1022.7","24","999.9"," 0","999.9"," 0","  9.0","24"," 15.0","999.9","  50.7","*","  32.4","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-12","47.27","-91.08","198.0","SILVER BAY, MN US","  39.9","24","9999.9"," 0","1022.1","24","999.9"," 0","999.9"," 0","  6.3","24"," 13.0","999.9","  48.4","*","  35.4","*"," 0.00","I","999.9","000000"
"99773799999","2020-05-13","47.27","-91.08","198.0","SILVER BAY, MN US","  40.1","22","9999.9"," 0","1021.3","22","999.9"," 0","999.9"," 0","  6.5","22"," 12.0","999.9","  44.1","*","  36.0","*"," 0.00","I","999.9","000000"
